X1,version,uid,type,f2525b,typeDescription,how,parsedhow,time,start,stale,access,opex,opexDescription,qos,qosDescription,flowTagsVersion,remarksSource,remarksTime,remarksTo,remarksKeywords,remarksVersion,requestNotify,requestWilcoby,requestPriority,requestVersion,requestTo,requestAuthority,requestStreamTo,sensorAzimuth,sensorElevation,sensorRoll,sensorFOV,sensorVFOV,sensorNorth,sensorVersion,sensorType,sensorModel,sensorRange,spatialAttitudeRoll,spatialAttitudePitch,spatialAttitudeYaw,spatialAttitudeERoll,spatialAttitudeEPitch,spatialAttitudeEYaw,spatialSpinRoll,spatialSpinPitch,spatialSpinYaw,spatialSpinERoll,spatialSpinEPitch,spatialSpinEYaw,spatialVersion,trackCourse,trackSpeed,trackSlope,trackECourse,trackESpeed,trackESlope,trackVersion,uidVersion,objectid,globalid,x,y
903840,2,2203746257209062,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619723188000,1619723206000,1619723326000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.36432241710264,2.6,NA,NA,NA,NA,NA,NA,903841,{5DA59EAF-2F83-4587-8927-BC0A5670D4FB},-76.32025,37.0011
740997,2,859814214601981,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619717348000,1619717242000,1619717362000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.64380973109803,248.476452,NA,NA,NA,NA,NA,NA,740998,{9C585981-F2A6-499E-8DC5-68473FCE1B87},-76.86029,37.67496
592094,2,3463530478159951,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619712344000,1619712346000,1619712466000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.63567758289742,227.89869199999998,NA,NA,NA,NA,NA,NA,592095,{A738CD8E-8F3C-485E-8D1E-ECEA40EC2F97},-76.42563,36.5807
850375,2,2784581045800192,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619721193000,1619721151000,1619721271000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.36432241710264,12.6,NA,NA,NA,NA,NA,NA,850376,{942D2F49-ECD3-40CF-A226-C95773DFE421},-75.95735,36.83957
115586,2,3614863526759982,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619616922000,1619616948000,1619617068000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.85100244704606,53.502176,NA,NA,NA,NA,NA,NA,115587,{990ED48F-1FFE-4B53-AB5E-7CE322CF6186},-76.53568,36.72588
476384,2,464017460199007,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619708538000,1619708529000,1619708649000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.36432241710264,6.1,NA,NA,NA,NA,NA,NA,476385,{510171B1-2487-49C5-90C2-F228394647E9},-76.2706,36.8396
663954,2,2134574577909965,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619714718000,1619714698000,1619714818000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.61652727481828,3,NA,NA,NA,NA,NA,NA,663955,{D7A64F2B-E72C-48E1-A194-D979AE90DE0E},-76.23988,36.72101
16962,2,3183946747942172,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619614565000,1619614592000,1619614712000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.98726882472442,82.825484,NA,NA,NA,NA,NA,NA,18050,{D98E7A32-39C6-4D77-B648-6B9D5A4DB9BD},-76.01417,37.62607
658508,2,2200718933220881,a-u-S,SUSP-----------,unknown surface sea sea surface track,m-a,machine tracker,1619714528000,1619714485000,1619714605000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.26354582129306,22.2,NA,NA,NA,NA,NA,NA,658509,{CAEAC26C-8AD1-4DF6-830A-EB9B0F70C455},-76.09089,36.91379
334446,2,2560329843309938,a-u-A,SUAP-----------,unknown air air track,m-a,machine tracker,1619703848000,1619703864000,1619703984000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.76079882407748,229.956468,NA,NA,NA,NA,NA,NA,334447,{7F2033C1-99A2-4BB4-A4B7-BD42A7939C6F},-75.56876,37.31378
